username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
BloombergQuint,7.15E+17,5/17/2017 14:54,".@McKinsey warns of perfect storm as banks' stressed assets surpass net worth.
@visshy_it reports... https://t.co/ormvd3UcUy",16,None,12880,321,0.433333333,0.366666667
Laurence Tribe,4091551984,5/16/2017 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,126590,1052,0.285714286,0.535714286
Ira Dugal,558654135,5/17/2017 17:08,"Bank stressed assets more than their net worth, says McKinsey. https://t.co/a5vuZ1oMMt https://t.co/RSrDLnO0oj",15,None,7033,625,0.266666667,0.2
Grayson Dolan,2156278138,5/12/2017 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8148,None,2689809,17041,0.292929293,0.558585859
Grayson Dolan,2156278138,5/11/2017 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7906,None,2689809,17041,0.2,0.3
Katya,175180732,5/14/2017 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,708,MothersDay,254639,739,1,0.3
FutureFemaleLeaders,624849630,5/14/2017 13:45,"Stressed *calls mom*
Happy *calls mom*
Anxious *calls mom*
Sad *calls mom*
Excited *calls mom*
Annoyed *calls mom*

Happy #MothersDay!",596,MothersDay,49727,453,0.170833333,0.925
Yoni Appelbaum,269911034,5/9/2017 11:32,".@PRRIpoll 10. Bottom line? White, working class Trump voters felt culturally displaced and resentful, not financia... https://t.co/BiHl2Ll51y",2299,None,19741,496,0.05,0.05
Thomas Sanders,612750924,5/11/2017 18:25,"""You look tired and stressed, are you stressed?""
Well I didn't think I was until you just made me self-conscious about how I looked!!",994,None,447046,1024,-0.625,0.7
OXTAIL GAWD,20691338,5/13/2017 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78504,27727,0,0
Malaa,3100257690,5/12/2017 19:20,I'm too young to be stressed out.,834,None,29702,178,0.1,0.4
Sopan Deb,48120914,5/16/2017 2:02,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,165779,4614,0.392857143,0.517857143
The Independent,16973333,5/10/2017 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,513,None,2213574,1125,-0.055555556,0.063888889
AcneSkinSite,143014330,5/10/2017 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",448,None,834202,6,0.575,0.625
SZA,256883252,5/9/2017 4:54,Grateful + stressed  /occasionally apologetic https://t.co/NE9et3z0SP,494,None,319063,471,0,0
Oliver Kamm,157760297,5/13/2017 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19515,997,-0.0625,0.3125
Shannon Clermont,267545354,5/9/2017 14:31,Too blessed to be stressed ,464,None,95827,853,0,0
Reno Omokri,264248576,5/15/2017 12:52,"The economy is bad, people are stressed, suicide is on the rise. Dont pressure your debtors. Don't push them. Corpses can't repay debts.",183,None,177716,65,-0.7,0.666666667
Sophia Benoit,257591704,5/9/2017 1:47,"me: i'm stressed
my body: here is some acne
me:...
my body: because you're stressed
me: I know i'm stressed
my body: so did it help?",225,None,56691,813,0,0
Monica Alba,71584155,5/18/2017 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",373,None,22809,2111,0,0
Aseefa B Zardari,130159846,5/18/2017 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,314,Sindh,1199534,716,0,0.3
The Notebook,233430873,5/19/2017 3:17,"Care less, and you won't be so stressed.",530,None,5767360,160,-0.166666667,0.066666667
Rachel Ballinger,468957900,5/18/2017 21:13,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",107,None,424200,4785,1,1
KOENA MITRA,154916905,5/19/2017 15:08,"#AmiKkr 
Ami confused.
Ami Stressed. 
Ami Speechless. 
Ami worried. 
Do something #Kkr 
@iamsrk Tomar luck Ektu diye Dao Kkr ke",97,AmiKkr,547842,9,-0.4,0.7
BRANDON WARDELL,58323389,5/18/2017 21:20,"r u guys going 2 that dorm party later? dam. my social studies class has me stressed out, brother. i cant wait 2 underage drink tonight hehe",126,None,161256,1048,0.016666667,0.033333333
Brad Williams,18723984,5/19/2017 3:40,News got you stressed out? Here's a dwarf jumping into a ball pit https://t.co/3B1JxFXdbz,87,None,65585,284,0,0
Mikki Kendall,100136358,5/18/2017 11:31,I was getting stressed out by the order of succession then names of people implicated started to leak &amp; well...will there be a GOP left?,66,None,74465,1031,-0.2,0.25
Tay Jardine,17693277,5/19/2017 13:54,Why is it that seeing all these anti stress fidget toys make me stressed out?????,88,None,164686,332,0,0
Becca Tilley,31047270,5/18/2017 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,119,None,220746,282,-0.025,0.083333333
Molly Hunter,117967849,5/18/2017 17:12,"More: The US official stressed the force that was struck were NOT Assad regime forces, but a pro-regime Shiite militia backed by Iran.",42,None,6783,1922,0.5,0.5
Fox News,1367531,5/18/2017 19:51,".@BillCassidy: ""He stressed that this is an investigation... He said to say that it went beyond that would prejudic... https://t.co/qepHrzyarP",62,None,14532551,439,0,0
Vinny Guadagnino,95515846,5/19/2017 7:16,Expensive Possessions make you stressed not happier,59,None,3142033,1339,-0.5,0.7
Blindspot,2994020017,5/18/2017 0:33,Raise your hand if you're stressed out. #Blindspot,47,Blindspot,169987,285,0,0
UN Refugee Agency,14361155,5/19/2017 2:58,"Kidnapped, sleep-deprived + stressed . How our brave aid workers train for the worst situations... https://t.co/hN9GBoF8d3",32,None,2140764,37464,-0.1,1
Randi Mayem Singer,372563164,5/17/2017 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,53,None,13569,452,0.195238095,0.428571429
Grayson Dolan,2156278138,5/11/2017 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7922,None,2705720,17043,0.2,0.3
Grayson Dolan,2156278138,5/12/2017 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8170,None,2705720,17043,0.292929293,0.558585859
Katya,175180732,5/14/2017 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,711,MothersDay,255248,738,1,0.3
FutureFemaleLeaders,624849630,5/14/2017 13:45,"Stressed *calls mom*
Happy *calls mom*
Anxious *calls mom*
Sad *calls mom*
Excited *calls mom*
Annoyed *calls mom*

Happy #MothersDay!",595,MothersDay,49719,453,0.170833333,0.925
Thomas Sanders,612750924,5/11/2017 18:25,"""You look tired and stressed, are you stressed?""
Well I didn't think I was until you just made me self-conscious about how I looked!!",996,None,447574,1026,-0.625,0.7
Laurence Tribe,4091551984,5/16/2017 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,127661,1057,0.285714286,0.535714286
OXTAIL GAWD,20691338,5/13/2017 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78536,27727,0,0
Malaa,3100257690,5/12/2017 19:20,I'm too young to be stressed out.,837,None,29724,178,0.1,0.4
The Independent,16973333,5/10/2017 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,512,None,2214811,1125,-0.055555556,0.063888889
AcneSkinSite,143014330,5/17/2017 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",486,None,834800,6,0,0
AcneSkinSite,143014330,5/10/2017 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",449,None,834800,6,0.575,0.625
Oliver Kamm,157760297,5/13/2017 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19728,998,-0.0625,0.3125
Sahil Kapur,19847765,5/17/2017 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",76,None,61528,522,0,0
BET,16560657,5/17/2017 16:45,"To say last night's episode of #RebelOnBET had us stressed......
https://t.co/ttQUhjjTwP https://t.co/yZjRhbbhXu",16,RebelOnBET,1983729,1541,0,0.066666667
Monica Alba,71584155,5/18/2017 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",371,None,22793,2110,0,0
Aseefa B Zardari,130159846,5/18/2017 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,280,Sindh,1199256,716,0,0.3
The Notebook,233430873,5/19/2017 3:17,"Care less, and you won't be so stressed.",428,None,5767353,160,-0.166666667,0.066666667
Rachel Ballinger,468957900,5/18/2017 21:13,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",102,None,424192,4778,1,1
BRANDON WARDELL,58323389,5/18/2017 21:20,"r u guys going 2 that dorm party later? dam. my social studies class has me stressed out, brother. i cant wait 2 underage drink tonight hehe",119,None,160973,1048,0.016666667,0.033333333
Mikki Kendall,100136358,5/18/2017 11:31,I was getting stressed out by the order of succession then names of people implicated started to leak &amp; well...will there be a GOP left?,65,None,74461,1031,-0.2,0.25
Becca Tilley,31047270,5/18/2017 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,119,None,220755,282,-0.025,0.083333333
